
BasicModel: Loading and testing schedule from file

Configuration: 

customers=Usuarios.txt
resources=Auxiliares.txt
services=clusters_originalLong/Servicios_lunes.txt
locations=clusters_originalLong/Cluster_completo_j12_colons.txt
solution=null
solutionVAR=null

Adding 0 additional subservices: 

# customer, serviceReference, dayOfWeek, minHour, minMinute, maxHour, maxMinute, duration, latitude, longitude
--------
81,81.0.08:00.90/0,0,7,0,20,30,90,40.409,-3.7073
82,82.0.18:45.60/0,0,17,45,19,45,60,40.427,-3.7035
82,82.0.09:10.120/0,0,8,10,10,10,120,40.427,-3.7035
87,87.0.12:50.60/0,0,7,0,21,0,60,40.411,-3.7087
90,90.0.08:00.60/0,0,7,0,9,0,60,40.408,-3.7094
90,90.0.08:00.60/1,0,7,0,9,0,60,40.408,-3.7094
91,91.0.07:50.60/0,0,7,0,21,0,60,40.417,-3.7003
99,99.0.12:20.120/0,0,11,20,13,20,120,40.409,-3.7049
102,102.0.10:05.90/0,0,7,0,20,30,90,40.412,-3.7128
103,103.0.18:00.120/0,0,7,0,20,0,120,40.412,-3.6996
111,111.0.08:30.90/0,0,7,0,20,30,90,40.408,-3.7026
113,113.0.10:40.90/0,0,7,0,20,30,90,40.423,-3.6986
121,121.0.08:30.120/0,0,7,30,9,30,120,40.412,-3.7093
123,123.0.09:05.90/0,0,8,5,10,5,90,40.403,-3.7013
150,150.0.10:05.60/0,0,7,0,21,0,60,40.33,-3.7595
158,158.0.09:00.120/0,0,8,0,10,0,120,40.409,-3.7
160,160.0.07:55.60/0,0,7,0,8,55,60,40.411,-3.6986
184,184.0.10:40.90/0,0,7,0,20,30,90,40.411,-3.7087
188,188.0.10:10.90/0,0,7,0,20,30,90,40.411,-3.7115
192,192.0.09:05.120/0,0,7,0,20,0,120,40.404,-3.7015
196,196.0.09:05.120/0,0,7,0,20,0,120,40.407,-3.7058
215,215.0.09:45.120/0,0,7,0,20,0,120,40.413,-3.713
223,223.0.10:45.90/0,0,7,0,20,30,90,40.407,-3.7056
240,240.0.10:10.120/0,0,9,10,11,10,120,40.426,-3.7031
259,259.0.11:30.60/0,0,7,0,21,0,60,40.409,-3.7165
268,268.0.21:30.30/0,0,20,30,21,30,30,40.423,-3.6999
268,268.0.21:30.30/1,0,20,30,21,30,30,40.423,-3.6999
268,268.0.08:00.60/0,0,7,0,9,0,60,40.423,-3.6999
268,268.0.21:30.60/0,0,20,30,21,0,60,40.423,-3.6999
276,276.0.10:20.30/0,0,9,20,11,20,30,40.412,-3.7032
276,276.0.10:20.30/1,0,9,20,11,20,30,40.412,-3.7032
276,276.0.14:25.30/0,0,13,25,15,25,30,40.412,-3.7032
276,276.0.14:25.30/1,0,13,25,15,25,30,40.412,-3.7032
276,276.0.20:20.30/0,0,19,20,21,20,30,40.412,-3.7032
276,276.0.20:20.30/1,0,19,20,21,20,30,40.412,-3.7032
277,277.0.13:20.120/0,0,12,20,14,20,120,40.466,-3.6857
286,286.0.10:10.180/0,0,9,10,11,10,180,40.405,-3.7069
306,306.0.09:10.60/0,0,8,10,10,10,60,40.414,-3.7108
346,346.0.21:30.30/0,0,20,30,21,30,30,40.409,-3.7056
346,346.0.08:30.90/0,0,7,30,9,30,90,40.409,-3.7056
351,351.0.08:35.120/0,0,7,35,9,35,120,40.411,-3.6986
353,353.0.17:50.60/0,0,16,50,18,50,60,40.409,-3.6979
353,353.0.13:30.90/0,0,12,30,14,30,90,40.409,-3.6979
363,363.0.08:00.90/0,0,7,0,20,30,90,40.407,-3.6998
367,367.0.13:30.90/0,0,12,30,14,30,90,40.417,-3.7003
393,393.0.10:50.120/0,0,9,50,11,50,120,40.41,-3.698
411,411.0.11:20.90/0,0,7,0,20,30,90,40.407,-3.714
423,423.0.12:20.120/0,0,11,20,13,20,120,40.429,-3.7022
428,428.0.11:10.120/0,0,7,0,20,0,120,40.426,-3.7093
438,438.0.13:10.120/0,0,7,0,20,0,120,40.417,-3.7003
441,441.0.12:50.90/0,0,11,50,13,50,90,40.43,-3.7089
443,443.0.11:20.90/0,0,10,20,12,20,90,40.429,-3.7005
